datetime,month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature_1,average_unmet_cooling_setpoint_difference_1,indoor_relative_humidity_1,non_shiftable_load_1,dhw_demand_1,cooling_demand_1,heating_demand_1,solar_generation_1,indoor_dry_bulb_temperature_10,average_unmet_cooling_setpoint_difference_10,indoor_relative_humidity_10,non_shiftable_load_10,dhw_demand_10,cooling_demand_10,heating_demand_10,solar_generation_10,indoor_dry_bulb_temperature_11,average_unmet_cooling_setpoint_difference_11,indoor_relative_humidity_11,non_shiftable_load_11,dhw_demand_11,cooling_demand_11,heating_demand_11,solar_generation_11,indoor_dry_bulb_temperature_12,average_unmet_cooling_setpoint_difference_12,indoor_relative_humidity_12,non_shiftable_load_12,dhw_demand_12,cooling_demand_12,heating_demand_12,solar_generation_12,indoor_dry_bulb_temperature_13,average_unmet_cooling_setpoint_difference_13,indoor_relative_humidity_13,non_shiftable_load_13,dhw_demand_13,cooling_demand_13,heating_demand_13,solar_generation_13,indoor_dry_bulb_temperature_14,average_unmet_cooling_setpoint_difference_14,indoor_relative_humidity_14,non_shiftable_load_14,dhw_demand_14,cooling_demand_14,heating_demand_14,solar_generation_14,indoor_dry_bulb_temperature_15,average_unmet_cooling_setpoint_difference_15,indoor_relative_humidity_15,non_shiftable_load_15,dhw_demand_15,cooling_demand_15,heating_demand_15,solar_generation_15,indoor_dry_bulb_temperature_16,average_unmet_cooling_setpoint_difference_16,indoor_relative_humidity_16,non_shiftable_load_16,dhw_demand_16,cooling_demand_16,heating_demand_16,solar_generation_16,indoor_dry_bulb_temperature_17,average_unmet_cooling_setpoint_difference_17,indoor_relative_humidity_17,non_shiftable_load_17,dhw_demand_17,cooling_demand_17,heating_demand_17,solar_generation_17,indoor_dry_bulb_temperature_2,average_unmet_cooling_setpoint_difference_2,indoor_relative_humidity_2,non_shiftable_load_2,dhw_demand_2,cooling_demand_2,heating_demand_2,solar_generation_2,indoor_dry_bulb_temperature_3,average_unmet_cooling_setpoint_difference_3,indoor_relative_humidity_3,non_shiftable_load_3,dhw_demand_3,cooling_demand_3,heating_demand_3,solar_generation_3,indoor_dry_bulb_temperature_4,average_unmet_cooling_setpoint_difference_4,indoor_relative_humidity_4,non_shiftable_load_4,dhw_demand_4,cooling_demand_4,heating_demand_4,solar_generation_4,indoor_dry_bulb_temperature_5,average_unmet_cooling_setpoint_difference_5,indoor_relative_humidity_5,non_shiftable_load_5,dhw_demand_5,cooling_demand_5,heating_demand_5,solar_generation_5,indoor_dry_bulb_temperature_6,average_unmet_cooling_setpoint_difference_6,indoor_relative_humidity_6,non_shiftable_load_6,dhw_demand_6,cooling_demand_6,heating_demand_6,solar_generation_6,indoor_dry_bulb_temperature_7,average_unmet_cooling_setpoint_difference_7,indoor_relative_humidity_7,non_shiftable_load_7,dhw_demand_7,cooling_demand_7,heating_demand_7,solar_generation_7,indoor_dry_bulb_temperature_8,average_unmet_cooling_setpoint_difference_8,indoor_relative_humidity_8,non_shiftable_load_8,dhw_demand_8,cooling_demand_8,heating_demand_8,solar_generation_8,indoor_dry_bulb_temperature_9,average_unmet_cooling_setpoint_difference_9,indoor_relative_humidity_9,non_shiftable_load_9,dhw_demand_9,cooling_demand_9,heating_demand_9,solar_generation_9,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
2021-01-01 08:00:00,1,8,1,0,,,,0.6159667,0.0,0.0,0.0,276.47083,,,,0.2547222,0.0,0.0,0.0,99.562225,,,,0.7401889,0.0,0.0,0.0,101.84889,,,,1.4103167,0.0,0.0,0.0,215.74333,,,,1.8216166,0.0,0.0,0.0,98.32,,,,0.16986668,0.0,0.0,0.0,35.4,,,,0.4953667,0.0,0.0,0.0,0.0,,,,1.1411667,0.0,0.0,0.0,158.78334,,,,0.8279167,0.0,0.0,0.0,361.88666,,,,1.5065,0.0,0.0,0.0,96.754166,,,,0.40593338,0.0,0.0,0.0,110.11667,,,,2.5932667,0.0,0.0,0.0,88.14,,,,1.2995833,0.0,0.0,0.0,342.41666,,,,2.0711,0.0,0.0,0.0,356.24582,,,,0.31236666,0.0,0.0,0.0,0.0,,,,0.53886676,0.0,0.0,0.0,258.22916,,,,2.0174167,0.0,0.0,0.0,100.01667,21.1,73.0,420.0,592.0,22.2,20.0,20.0,73.0,76.0,87.0,683.0,0.0,252.0,291.0,0.0,74.0
2021-01-01 09:00:00,1,9,1,0,,,,0.6272333,0.0,0.0,0.0,453.025,,,,0.25661665,0.0,0.0,0.0,230.25333,,,,1.3831667,0.0,0.0,0.0,231.75333,,,,2.7551167,0.0,0.0,0.0,353.92667,,,,1.4121833,0.0,0.0,0.0,228.44333,,,,0.0018667537,0.0,0.0,0.0,81.236664,,,,1.2157,0.0,0.0,0.0,0.0,,,,1.0572166,0.0,0.0,0.0,328.89667,,,,1.47905,0.0,0.0,0.0,475.20667,,,,1.6521167,0.0,0.0,0.0,225.45416,,,,0.12931676,0.0,0.0,0.0,249.8625,,,,2.7008834,0.0,0.0,0.0,202.37334,,,,1.6788,0.0,0.0,0.0,483.32083,,,,3.33535,0.0,0.0,0.0,504.53333,,,,0.4044,0.0,0.0,0.0,0.0,,,,1.3050333,0.0,0.0,0.0,423.63333,,,,3.1141834,0.0,0.0,0.0,238.22917,22.2,71.0,554.0,491.0,22.8,20.6,20.0,71.0,70.0,84.0,522.0,0.0,292.0,153.0,0.0,35.0
2021-01-01 10:00:00,1,10,1,0,,,,0.61806667,0.0,0.0,0.0,606.9625,,,,0.25685,0.0,0.0,0.0,375.95334,,,,1.53125,0.0,0.0,0.0,375.60556,,,,4.2664666,0.0,0.0,0.0,472.71335,,,,2.0914166,0.0,0.0,0.0,373.37,,,,1.2207032e-07,0.0,0.0,0.0,131.75667,,,,1.5863167,0.0,0.0,0.0,0.0,,,,2.6194334,0.0,0.0,0.0,499.22333,,,,1.8689667,0.0,0.0,0.0,552.04333,,,,2.7347834,0.0,0.0,0.0,366.8,,,,0.5406834,0.0,0.0,0.0,403.36667,,,,2.0974,0.0,0.0,0.0,328.54666,,,,2.1846333,0.0,0.0,0.0,589.4708,,,,3.7563834,0.0,0.0,0.0,616.75415,,,,0.6442,0.0,0.0,0.0,0.0,,,,1.61705,0.0,0.0,0.0,566.48334,,,,3.1016333,0.0,0.0,0.0,392.27917,21.7,73.0,778.0,734.0,22.2,20.6,21.7,71.0,73.0,76.0,444.0,0.0,436.0,174.0,0.0,95.0
2021-01-01 11:00:00,1,11,1,0,,,,0.6451333,0.0,0.0,0.0,712.75,,,,0.57676667,0.0,0.0,0.0,507.03333,,,,1.7837833,0.0,0.0,0.0,502.08,,,,4.6949887,0.0,0.0,0.0,553.7878,,,,2.0143166,0.0,0.0,0.0,502.09665,,,,1.2207032e-07,0.0,0.0,0.0,176.38333,,,,2.0755334,0.0,0.0,0.0,0.0,,,,2.56615,0.0,0.0,0.0,635.44336,,,,2.5458167,0.0,0.0,0.0,585.12,,,,2.9716666,0.0,0.0,0.0,491.59583,,,,0.6703,0.0,0.0,0.0,535.86664,,,,2.5029,0.0,0.0,0.0,440.23334,,,,2.0674167,0.0,0.0,0.0,648.19165,,,,3.9093332,0.0,0.0,0.0,678.2292,,,,0.48046666,0.0,0.0,0.0,0.0,,,,2.7272666,0.0,0.0,0.0,663.2208,,,,3.6635168,0.0,0.0,0.0,525.0958,22.2,71.0,903.0,811.0,21.1,19.4,21.7,76.0,81.0,73.0,392.0,0.0,604.0,396.0,0.0,209.0
2021-01-01 12:00:00,1,12,1,0,,,,0.7644333,0.0,0.0,0.0,759.825,,,,1.3443667,0.0,0.0,0.0,602.36334,,,,1.8733778,0.0,0.0,0.0,594.42114,,,,4.9434667,0.0,0.0,0.0,593.4633,,,,2.0618167,0.0,0.0,0.0,595.13336,,,,0.58431673,0.0,0.0,0.0,208.33667,,,,0.6504001,0.0,0.0,0.0,30.686666,,,,1.8248667,0.0,0.0,0.0,723.43335,,,,3.2747333,0.0,0.0,0.0,577.57336,,,,3.526,0.0,0.0,0.0,578.87085,,,,2.1257334,0.0,0.0,0.0,630.3375,,,,2.6979334,0.0,0.0,0.0,518.95,,,,1.0379833,0.0,0.0,0.0,657.94586,,,,2.8632333,0.0,0.0,0.0,689.7125,,,,0.17113334,0.0,0.0,0.0,0.0,,,,3.8617167,0.0,0.0,0.0,710.20416,,,,3.96365,0.0,0.0,0.0,618.9,22.8,68.0,964.0,815.0,20.6,20.0,22.2,78.0,81.0,71.0,231.0,0.0,589.0,320.0,0.0,144.0
2021-01-01 13:00:00,1,13,1,0,,,,1.4323,0.0,0.0,0.0,751.2625,,,,1.5848944,0.0,0.0,0.0,649.89667,,,,2.34505,0.0,0.0,0.0,643.1633,,,,4.62995,0.0,0.0,0.0,584.58887,,,,2.2948666,0.0,0.0,0.0,643.10333,,,,2.56205,0.0,0.0,0.0,225.41,,,,0.30236673,0.0,0.0,0.0,0.0,,,,2.0316334,0.0,0.0,0.0,755.68665,,,,2.76585,0.0,0.0,0.0,526.5333,,,,3.8720334,0.0,0.0,0.0,624.8458,,,,2.9453332,0.0,0.0,0.0,679.1583,,,,2.1056833,0.0,0.0,0.0,560.24,,,,0.67051667,0.0,0.0,0.0,620.25,,,,3.7557666,0.0,0.0,0.0,651.4042,,,,0.17153333,0.0,0.0,0.0,0.0,,,,2.1907833,0.0,0.0,0.0,703.4583,,,,4.58375,0.0,0.0,0.0,670.23334,22.8,71.0,966.0,747.0,20.6,19.4,21.0,73.0,87.0,78.0,27.0,0.0,554.0,143.0,0.0,133.0
2021-01-01 14:00:00,1,14,1,0,,,,1.9018333,0.0,0.0,0.0,689.675,,,,2.9717166,0.0,0.0,0.0,657.06,,,,2.2885194,0.0,0.0,0.0,647.9089,,,,3.6165,0.0,0.0,0.0,534.95667,,,,3.19715,0.0,0.0,0.0,650.17334,,,,0.72418344,0.0,0.0,0.0,227.88667,,,,0.4880834,0.0,0.0,0.0,0.0,,,,1.61925,0.0,0.0,0.0,735.12335,,,,2.6845834,0.0,0.0,0.0,440.39667,,,,3.4493666,0.0,0.0,0.0,631.1875,,,,1.4418334,0.0,0.0,0.0,684.6,,,,0.13263333,0.0,0.0,0.0,563.9533,,,,2.0011666,0.0,0.0,0.0,538.32086,,,,2.8141668,0.0,0.0,0.0,564.38336,,,,0.17206667,0.0,0.0,0.0,0.0,,,,2.5295334,0.0,0.0,0.0,645.50836,,,,3.0112333,0.0,0.0,0.0,674.64166,22.2,73.0,683.0,291.0,20.0,19.4,21.0,76.0,87.0,78.0,0.0,0.0,907.0,0.0,0.0,685.0
2021-01-01 15:00:00,1,15,1,0,,,,1.7299833,0.0,0.0,0.0,581.275,,,,6.2157664,0.0,0.0,0.0,624.4,,,,2.5597,0.0,0.0,0.0,615.4267,,,,2.2178166,0.0,0.0,0.0,448.26666,,,,3.39055,0.0,0.0,0.0,617.0333,,,,0.9743334,0.0,0.0,0.0,217.08667,,,,0.24653341,0.0,0.0,0.0,0.0,,,,2.5688667,0.0,0.0,0.0,667.7033,,,,3.0492,0.0,0.0,0.0,326.09,,,,3.3364167,0.0,0.0,0.0,600.2708,,,,1.1886,0.0,0.0,0.0,650.62085,,,,0.7,0.0,0.0,0.0,534.57,,,,1.5273967,0.0,0.0,0.0,409.11166,,,,0.20903343,0.0,0.0,0.0,440.21667,,,,0.7431,0.0,0.0,0.0,0.0,,,,1.4962833,0.0,0.0,0.0,545.42084,,,,1.41055,0.0,0.0,0.0,640.5833,22.8,71.0,522.0,153.0,20.6,19.4,22.8,70.0,90.0,68.0,0.0,0.0,789.0,0.0,0.0,777.0
2021-01-01 16:00:00,1,16,1,0,,,,1.3914334,0.0,0.0,0.0,422.425,,,,7.1401834,0.0,0.0,0.0,536.0367,,,,2.4871223,0.0,0.0,0.0,527.1911,,,,1.2707834,0.0,0.0,0.0,325.3,,,,2.4104,0.0,0.0,0.0,529.0333,,,,0.8450334,0.0,0.0,0.0,186.48666,,,,0.10241676,0.0,0.0,0.0,8.466666,,,,2.8900166,0.0,0.0,0.0,541.8333,,,,3.2811666,0.0,0.0,0.0,194.27,,,,2.2620666,0.0,0.0,0.0,514.5125,,,,0.48453334,0.0,0.0,0.0,557.0208,,,,0.2069,0.0,0.0,0.0,456.18335,,,,0.9494333,0.0,0.0,0.0,271.64584,,,,1.0305333,0.0,0.0,0.0,283.88333,,,,3.4765666,0.0,0.0,0.0,0.0,,,,0.81633335,0.0,0.0,0.0,396.81668,,,,2.7819,0.0,0.0,0.0,548.17084,22.2,71.0,444.0,174.0,20.6,18.9,22.8,73.0,90.0,67.0,0.0,0.0,631.0,0.0,0.0,703.0
2021-01-02 08:00:00,1,8,2,0,,,,1.2234666,0.0,0.0,0.0,269.425,,,,0.53672224,0.0,0.0,0.0,99.26111,,,,0.77848333,0.0,0.0,0.0,98.0,,,,1.4601667,0.0,0.0,0.0,210.49,,,,1.4484,0.0,0.0,0.0,97.16,,,,0.29916668,0.0,0.0,0.0,34.48,,,,0.45898336,0.0,0.0,0.0,0.0,,,,0.8285667,0.0,0.0,0.0,154.88,,,,1.49775,0.0,0.0,0.0,352.46,,,,0.60545,0.0,0.0,0.0,94.69583,,,,0.32430005,0.0,0.0,0.0,108.23333,,,,0.9788667,0.0,0.0,0.0,86.723335,,,,0.67475,0.0,0.0,0.0,333.69583,,,,2.0158,0.0,0.0,0.0,347.20416,,,,0.51225,0.0,0.0,0.0,0.0,,,,0.4047,0.0,0.0,0.0,251.60417,,,,0.9623167,0.0,0.0,0.0,98.40417,20.0,87.0,252.0,74.0,21.0,22.8,22.8,78.0,61.0,66.0,907.0,0.0,404.0,685.0,0.0,609.0
2021-01-02 09:00:00,1,9,2,0,,,,1.0826833,0.0,0.0,0.0,446.89166,,,,0.54765,0.0,0.0,0.0,227.43333,,,,1.1408833,0.0,0.0,0.0,224.53667,,,,3.0199833,0.0,0.0,0.0,347.99667,,,,1.3377666,0.0,0.0,0.0,223.07666,,,,0.40240002,0.0,0.0,0.0,79.80666,,,,1.3075,0.0,0.0,0.0,0.0,,,,0.71415,0.0,0.0,0.0,323.04666,,,,2.77955,0.0,0.0,0.0,467.83667,,,,2.4703333,0.0,0.0,0.0,221.7,,,,1.1664833,0.0,0.0,0.0,245.45833,,,,1.5243167,0.0,0.0,0.0,198.87,,,,0.9467667,0.0,0.0,0.0,478.0,,,,2.90035,0.0,0.0,0.0,498.68332,,,,0.26171666,0.0,0.0,0.0,0.0,,,,0.36675,0.0,0.0,0.0,417.20416,,,,1.3203833,0.0,0.0,0.0,234.12917,20.0,84.0,292.0,35.0,22.8,20.0,24.4,68.0,84.0,64.0,789.0,0.0,611.0,777.0,0.0,730.0
2021-01-02 10:00:00,1,10,2,0,,,,0.6676667,0.0,0.0,0.0,594.0333,,,,0.55609167,0.0,0.0,0.0,368.69168,,,,1.3821223,0.0,0.0,0.0,363.88998,,,,3.8853166,0.0,0.0,0.0,462.57166,,,,1.3874667,0.0,0.0,0.0,363.76666,,,,1.2207032e-07,0.0,0.0,0.0,129.06667,,,,1.92385,0.0,0.0,0.0,0.0,,,,0.77206665,0.0,0.0,0.0,486.63666,,,,4.42445,0.0,0.0,0.0,539.51666,,,,1.9930333,0.0,0.0,0.0,358.94583,,,,0.9182,0.0,0.0,0.0,394.0375,,,,1.8559667,0.0,0.0,0.0,320.83,,,,1.4758834,0.0,0.0,0.0,577.82916,,,,2.9267833,0.0,0.0,0.0,604.1542,,,,0.25583333,0.0,0.0,0.0,0.0,,,,1.69065,0.0,0.0,0.0,554.2792,,,,2.5424166,0.0,0.0,0.0,382.40417,21.7,76.0,436.0,95.0,22.8,20.6,23.9,67.0,78.0,66.0,631.0,0.0,778.0,703.0,0.0,793.0
2021-01-02 11:00:00,1,11,2,0,,,,0.6661,0.0,0.0,0.0,698.3125,,,,3.5502667,0.0,0.0,0.0,494.55667,,,,1.3636167,0.0,0.0,0.0,489.91333,,,,4.717583,0.0,0.0,0.0,545.27,,,,1.3578334,0.0,0.0,0.0,490.09332,,,,1.2207032e-07,0.0,0.0,0.0,172.96667,,,,1.3341,0.0,0.0,0.0,0.0,,,,3.1206167,0.0,0.0,0.0,622.5,,,,1.556,0.0,0.0,0.0,574.10333,,,,3.3299167,0.0,0.0,0.0,480.34583,,,,0.52075005,0.0,0.0,0.0,523.38336,,,,2.2233334,0.0,0.0,0.0,429.82333,,,,1.5935167,0.0,0.0,0.0,636.17084,,,,4.016383,0.0,0.0,0.0,665.7208,,,,0.25585,0.0,0.0,0.0,0.0,,,,1.27775,0.0,0.0,0.0,651.2208,,,,3.5653167,0.0,0.0,0.0,512.7917,21.7,73.0,604.0,209.0,22.2,20.6,25.0,68.0,78.0,62.0,443.0,0.0,897.0,585.0,0.0,811.0
